index_code,quarter,quarter_start_date,quarter_end_date,quarter_start_price,quarter_end_price,index_quarter_return
VN30,2021Q4,2021-10-13,2021-12-31,1505.55,1535.71,2.003254624555817
VN30,2022Q1,2022-01-04,2022-03-31,1558.87,1508.53,-3.2292622219941336
VN30,2022Q2,2022-04-01,2022-06-30,1542.47,1248.92,-19.031164301412662
VN30,2022Q3,2022-07-01,2022-09-30,1252.24,1152.01,-8.004056730339236
VN30,2022Q4,2022-10-03,2022-12-30,1102.0,1005.19,-8.784936479128847
VN30,2023Q1,2023-01-03,2023-03-31,1047.25,1073.68,2.523752685605163
VN30,2023Q2,2023-04-03,2023-06-30,1088.72,1123.13,3.160592255125283
VN30,2023Q3,2023-07-03,2023-09-29,1123.37,1166.26,3.8179762678369533
VN30,2023Q4,2023-10-02,2023-12-29,1167.13,1131.46,-3.056214817543901
VN30,2024Q1,2024-01-02,2024-03-29,1131.64,1296.9,14.60358417871408
VN30,2024Q2,2024-04-01,2024-06-28,1292.62,1278.32,-1.106280267982851
VN30,2024Q3,2024-07-01,2024-09-30,1285.48,1352.56,5.218284220680203
VN30,2024Q4,2024-10-01,2024-12-31,1358.88,1344.75,-1.0398269162840035
VN30,2025Q1,2025-01-02,2025-03-31,1343.2,1363.88,1.5396069088743358
VN30,2025Q2,2025-04-01,2025-06-30,1376.91,1477.56,7.309845959430894
VN30,2025Q3,2025-07-01,2025-09-30,1476.16,1863.13,26.2146379796228
VN30,2025Q4,2025-10-01,2025-12-31,1870.63,2030.63,8.553268150302307
VN30,2026Q1,2026-01-05,2026-03-31,2028.68,1829.59,-9.813770530591325
VN30,2026Q2,2026-04-01,2026-06-30,1861.84,1995.71,7.190198942981141
VN30,2026Q3,2026-07-01,2026-07-08,2013.35,1998.44,-0.7405567834703253
VNINDEX,2021Q4,2021-10-13,2021-12-31,1391.91,1498.28,7.642017084437924
VNINDEX,2022Q1,2022-01-04,2022-03-31,1525.58,1492.15,-2.191297735943043
VNINDEX,2022Q2,2022-04-01,2022-06-30,1516.44,1197.6,-21.02555986389175
VNINDEX,2022Q3,2022-07-01,2022-09-30,1198.9,1132.11,-5.570940028359351
VNINDEX,2022Q4,2022-10-03,2022-12-30,1086.44,1007.09,-7.303670704318699
VNINDEX,2023Q1,2023-01-03,2023-03-31,1043.9,1064.64,1.9867803429447273
VNINDEX,2023Q2,2023-04-03,2023-06-30,1079.28,1120.18,3.789563412645469
VNINDEX,2023Q3,2023-07-03,2023-09-29,1125.5,1154.15,2.545535317636616
VNINDEX,2023Q4,2023-10-02,2023-12-29,1155.25,1129.93,-2.1917333910408954
VNINDEX,2024Q1,2024-01-02,2024-03-29,1131.72,1284.09,13.463577563354878
VNINDEX,2024Q2,2024-04-01,2024-06-28,1281.52,1245.32,-2.824770584930403
VNINDEX,2024Q3,2024-07-01,2024-09-30,1254.56,1287.94,2.6606937890575333
VNINDEX,2024Q4,2024-10-01,2024-12-31,1292.2,1266.78,-1.9671877418356298
VNINDEX,2025Q1,2025-01-02,2025-03-31,1269.71,1306.86,2.9258649612903698
VNINDEX,2025Q2,2025-04-01,2025-06-30,1317.33,1376.07,4.459019380109774
VNINDEX,2025Q3,2025-07-01,2025-09-30,1377.84,1661.7,20.601811531092153
VNINDEX,2025Q4,2025-10-01,2025-12-31,1665.05,1784.49,7.17335815741269
VNINDEX,2026Q1,2026-01-05,2026-03-31,1788.4,1674.49,-6.369380451800499
VNINDEX,2026Q2,2026-04-01,2026-06-30,1702.93,1860.01,9.22410198892496
VNINDEX,2026Q3,2026-07-01,2026-07-08,1867.21,1853.7,-0.7235393983536897
