ticker,roe_pct,pe,pb,status,error
VCB,3.83,12.66,2.11,SKIPPED_EXISTING,
BID,6.68,9.09,1.57,SKIPPED_EXISTING,
CTG,6.32,5.55,1.07,SKIPPED_EXISTING,
TCB,3.72,9.76,1.38,SKIPPED_EXISTING,
MBB,6.37,6.36,1.43,SKIPPED_EXISTING,
VPB,4.68,9.48,1.26,SKIPPED_EXISTING,
ACB,3.0,7.43,1.3,SKIPPED_EXISTING,
STB,-4.49,18.41,1.83,SKIPPED_EXISTING,
HDB,6.96,6.39,1.46,SKIPPED_EXISTING,
TPB,5.91,6.16,1.03,SKIPPED_EXISTING,
SSI,2.59,14.74,1.96,SKIPPED_EXISTING,
HCM,2.53,15.25,1.66,SKIPPED_EXISTING,
VCI,2.89,18.96,1.67,SKIPPED_EXISTING,
VIC,4.32,49.13,8.66,SKIPPED_EXISTING,
VHM,11.07,12.38,2.05,SKIPPED_EXISTING,
VRE,5.65,11.86,1.58,SKIPPED_EXISTING,
KDH,2.39,31.63,1.67,SKIPPED_EXISTING,
MWG,6.38,18.51,3.94,SKIPPED_EXISTING,
PNJ,9.65,11.59,2.49,SKIPPED_EXISTING,
MSN,3.35,27.94,2.6,SKIPPED_EXISTING,
VNM,7.84,13.59,3.71,SKIPPED_EXISTING,
SAB,4.47,14.21,2.73,SKIPPED_EXISTING,
FPT,5.78,15.92,3.73,SKIPPED_EXISTING,
HPG,2.98,11.98,1.54,SKIPPED_EXISTING,
GVR,1.58,19.1,1.68,SKIPPED_EXISTING,
GAS,2.03,14.98,2.58,SKIPPED_EXISTING,
PLX,2.01,17.16,1.52,SKIPPED_EXISTING,
POW,1.32,12.86,0.8,SKIPPED_EXISTING,
VJC,2.07,54.93,4.98,SKIPPED_EXISTING,
BCM,5.46,18.38,2.74,SKIPPED_EXISTING,
